pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
883663,,bse_fo,IO,SENSEX,SENSEX2631967900CE,CE,SENSEX19MAR2667900.00CE,,1,,,SENSEX2631967900CE,,,5,20,1773944999,1,2,6790000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,911850.0,433520.0,1,1,1,0,0,1,0,-1,1,0,1000
849995,,bse_fo,IO,SENSEX,SENSEX2631982800CE,CE,SENSEX19MAR2682800.00CE,,1,,,SENSEX2631982800CE,,,5,20,1773944999,1,2,8280000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,2920,2005.0,755.0,1,1,1,0,0,1,0,-1,1,0,1000
851560,,bse_fo,IO,SENSEX,SENSEX2631990200CE,CE,SENSEX19MAR2690200.00CE,,1,,,SENSEX2631990200CE,,,5,20,1773944999,1,2,9020000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,3660,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
849945,,bse_fo,IO,SENSEX,SENSEX2631988800CE,CE,SENSEX19MAR2688800.00CE,,1,,,SENSEX2631988800CE,,,5,20,1773944999,1,2,8880000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,160,2005.0,20.0,1,1,1,0,0,1,0,-1,1,0,1000
854175,,bse_fo,IO,SENSEX,SENSEX2631977300CE,CE,SENSEX19MAR2677300.00CE,,1,,,SENSEX2631977300CE,,,5,20,1773944999,1,2,7730000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,53800,30370.0,10850.0,1,1,1,0,0,1,0,-1,1,0,1000
852315,,bse_fo,IO,SENSEX,SENSEX2631990700PE,PE,SENSEX19MAR2690700.00PE,,1,,,SENSEX2631990700PE,,,5,20,1773944999,1,2,9070000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1844570.0,1366240.0,1,1,1,0,0,1,0,-1,1,0,1000
852736,,bse_fo,IO,SENSEX,SENSEX2631973900CE,CE,SENSEX19MAR2673900.00CE,,1,,,SENSEX2631973900CE,,,5,20,1773944999,1,2,7390000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,7840,316485.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
856567,,bse_fo,IO,SENSEX,SENSEX2631981500PE,PE,SENSEX19MAR2681500.00PE,,1,,,SENSEX2631981500PE,,,5,20,1773944999,1,2,8150000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,4180,914160.0,435830.0,1,1,1,0,0,1,0,-1,1,0,1000
848914,,bse_fo,IO,SENSEX,SENSEX2631981700PE,PE,SENSEX19MAR2681700.00PE,,1,,,SENSEX2631981700PE,,,5,20,1773944999,1,2,8170000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,945650.0,467320.0,1,1,1,0,0,1,0,-1,1,0,1000
862451,,bse_fo,IO,SENSEX,SENSEX2631993400CE,CE,SENSEX19MAR2693400.00CE,,1,,,SENSEX2631993400CE,,,5,20,1773944999,1,2,9340000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
860392,,bse_fo,IO,SENSEX,SENSEX2631992900CE,CE,SENSEX19MAR2692900.00CE,,1,,,SENSEX2631992900CE,,,5,20,1773944999,1,2,9290000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
851205,,bse_fo,IO,SENSEX,SENSEX2631984900PE,PE,SENSEX19MAR2684900.00PE,,1,,,SENSEX2631984900PE,,,5,20,1773944999,1,2,8490000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,0,1,0.0,20,0,1265100.0,786770.0,1,1,1,0,0,1,0,-1,1,0,1000
885201,,bse_fo,IO,SENSEX,SENSEX2631966400PE,PE,SENSEX19MAR2666400.00PE,,1,,,SENSEX2631966400PE,,,5,20,1773944999,1,2,6640000.0,BSE,IO,1773944999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1773878400,1773878400,,,,,Cash,,1,1,0.0,20,0,2005.0,5.0,1,1,1,0,0,1,0,-1,1,0,1000
