pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
57645,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631722100PE,PE,NIFTY17MAR2622100.00PE,,26000,,,,,,5,65,1458225000,-1,2,2210000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,2620.0,Cash,,0,1,1801.0,65,955630.0,4620.0,620.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
43715,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631718700CE,CE,NIFTY17MAR2618700.00CE,,26000,,,,,,5,65,1458225000,-1,2,1870000.0,NSE,OPTIDX,1458225000,1457740800,1458225000,1457740800,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,445825.0,Cash,,1,1,1801.0,65,0.0,500755.0,390895.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58205,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631728350CE,CE,NIFTY17MAR2628350.00CE,,26000,,,,,,5,65,1458225000,-1,2,2835000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457887036,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
38368,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631719950CE,CE,NIFTY17MAR2619950.00CE,,26000,,,,,,5,65,1458225000,-1,2,1995000.0,NSE,OPTIDX,1458225000,1456876800,1458225000,1456876800,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,320870.0,Cash,,1,1,1801.0,65,0.0,375800.0,265940.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
59383,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631717900CE,CE,NIFTY17MAR2617900.00CE,,26000,,,,,,5,65,1458225000,-1,2,1790000.0,NSE,OPTIDX,1458225000,1458086400,1458225000,1458086400,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,525795.0,Cash,,1,1,1801.0,65,0.0,580725.0,470865.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57682,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631722750PE,PE,NIFTY17MAR2622750.00PE,,26000,,,,,,5,65,1458225000,-1,2,2275000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,10635.0,Cash,,0,1,1801.0,65,1163180.0,13630.0,7640.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58129,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631727050PE,PE,NIFTY17MAR2627050.00PE,,26000,,,,,,5,65,1458225000,-1,2,2705000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,388860.0,Cash,,0,1,1801.0,65,0.0,443790.0,333930.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57596,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631721600CE,CE,NIFTY17MAR2621600.00CE,,26000,,,,,,5,65,1458225000,-1,2,2160000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,155935.0,Cash,,0,1,1801.0,65,0.0,210860.0,101010.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
43717,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631718750CE,CE,NIFTY17MAR2618750.00CE,,26000,,,,,,5,65,1458225000,-1,2,1875000.0,NSE,OPTIDX,1458225000,1457740800,1458225000,1457740800,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,440825.0,Cash,,1,1,1801.0,65,0.0,495755.0,385895.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58227,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631728800CE,CE,NIFTY17MAR2628800.00CE,,26000,,,,,,5,65,1458225000,-1,2,2880000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457887036,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
56844,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631718500PE,PE,NIFTY17MAR2618500.00PE,,26000,,,,,,5,65,1458225000,-1,2,1850000.0,NSE,OPTIDX,1458225000,1457827200,1458225000,1457827200,0,0,0,0,0,,0,0,1457887036,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,5.0,Cash,,1,1,1801.0,65,0.0,2005.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57883,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631724950PE,PE,NIFTY17MAR2624950.00PE,,26000,,,,,,5,65,1458225000,-1,2,2495000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,179710.0,Cash,,0,1,1801.0,65,28470.0,234640.0,124780.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57998,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631726200PE,PE,NIFTY17MAR2626200.00PE,,26000,,,,,,5,65,1458225000,-1,2,2620000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,303300.0,Cash,,0,1,1801.0,65,25740.0,358230.0,248370.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58045,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631726750CE,CE,NIFTY17MAR2626750.00CE,,26000,,,,,,5,65,1458225000,-1,2,2675000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,85.0,Cash,,0,1,1801.0,65,72865.0,2085.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57725,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631723350CE,CE,NIFTY17MAR2623350.00CE,,26000,,,,,,5,65,1458225000,-1,2,2335000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,15440.0,Cash,,0,1,1801.0,65,1160250.0,28300.0,2580.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
57621,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631721750PE,PE,NIFTY17MAR2621750.00PE,,26000,,,,,,5,65,1458225000,-1,2,2175000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,1420.0,Cash,,0,1,1801.0,65,380120.0,3420.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
58256,XX,nse_fo,OPTIDX,NIFTY,NIFTY2631729500PE,PE,NIFTY17MAR2629500.00PE,,26000,,,,,,5,65,1458225000,-1,2,2950000.0,NSE,OPTIDX,1458225000,1455235200,1458225000,1455235200,0,0,0,0,0,,0,0,1457888468,,,,,,,,,,FO,,,,,,,1458172800.0,1458225000.0,,,,632645.0,Cash,,1,1,1801.0,65,0.0,687575.0,577715.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
